guess,av_score
aahed,2.3339092872570193
aalii,2.251403887688985
aargh,2.1511879049676024
aarti,2.3693304535637147
abaca,2.0742980561555076
abaci,1.9153347732181425
abacs,1.9244060475161988
abaft,1.9278617710583152
abaka,1.8842332613390929
abamp,1.6868250539956804
aband,1.958099352051836
abash,2.0
abask,1.9010799136069114
abaya,1.932181425485961
abbas,1.6397408207343414
abbed,1.8008639308855292
abbes,1.8371490280777538
abcee,2.438876889848812
abeam,1.9511879049676026
abear,2.3308855291576673
abele,2.4950323974082074
abers,2.0436285097192224
abets,1.958963282937365
abies,2.1818574514038875
abler,2.2958963282937366
ables,2.049244060475162
ablet,2.2578833693304534
ablow,1.5235421166306695
abmho,1.35377969762419
abohm,1.4980561555075593
aboil,1.9758099352051837
aboma,1.780561555075594
aboon,1.8997840172786178
abord,1.8997840172786178
abore,2.460475161987041
abram,1.8444924406047516
abray,2.1740820734341253
abrim,1.7269978401727861
abrin,1.9118790496760258
abris,1.8600431965442765
absey,2.205183585313175
absit,1.9023758099352053
abuna,1.8263498920086394
abune,2.200863930885529
abuts,1.6898488120950323
abuzz,1.0345572354211663
abyes,1.8777537796976242
abysm,1.4285097192224623
acais,2.1144708423326133
acari,2.1822894168466522
accas,1.8159827213822894
accoy,1.8838012958963284
acerb,1.9693304535637148
acers,2.142548596112311
aceta,2.2077753779697624
achar,1.9922246220302375
ached,1.9066954643628509
aches,1.9429805615550757
achoo,1.6596112311015119
acids,1.7693304535637149
acidy,1.9658747300215982
acing,1.8116630669546436
acini,1.9356371490280777
ackee,2.3935205183585313
acker,2.115766738660907
acmes,1.952915766738661
acmic,1.5602591792656588
acned,2.0928725701943844
acnes,2.1291576673866093
acock,1.7537796976241902
acold,1.9257019438444924
acred,2.237580993520518
acres,2.273866090712743
acros,1.947732181425486
acted,2.1192224622030236
actin,1.8924406047516198
acton,1.881209503239741
acyls,1.665658747300216
adaws,1.752915766738661
adays,1.8302375809935205
adbot,1.7676025917926566
addax,1.4725701943844491
added,1.9088552915766739
adder,2.191792656587473
addio,1.6730021598272138
addle,2.1585313174946004
adeem,2.1965442764578835
adhan,1.7464362850971922
adieu,2.130021598272138
adios,1.903671706263499
adits,1.9071274298056156
adman,1.7563714902807774
admen,1.9537796976241901
admix,1.311879049676026
adobo,1.6699784017278618
adown,1.6483801295896328
adoze,2.0479481641468684
adrad,1.9892008639308856
adred,2.1866090712742983
adsum,1.4609071274298056
aduki,1.455291576673866
adunc,1.6466522678185744
adust,1.952915766738661
advew,1.627645788336933
adyta,1.752915766738661
adzed,1.708855291576674
adzes,1.7451403887688985
aecia,2.2855291576673866
aedes,2.433261339092873
aegis,2.081209503239741
aeons,2.3740820734341255
aerie,2.9205183585313175
aeros,2.3848812095032397
aesir,2.4764578833693305
afald,1.9503239740820735
afara,2.2095032397408207
afars,2.059611231101512
afear,2.2980561555075596
aflaj,1.5326133909287256
afore,2.427645788336933
afrit,2.03585313174946
afros,1.8159827213822894
agama,1.947732181425486
agami,1.788768898488121
agars,2.1032397408207344
agast,2.2336933045356373
agave,2.2388768898488123
agaze,2.167170626349892
agene,2.480777537796976
agers,2.054427645788337
agger,2.1174946004319652
aggie,2.0803455723542115
aggri,1.6237580993520517
aggro,1.6755939524838013
aggry,1.8293736501079914
aghas,1.657451403887689
agila,2.031533477321814
agios,1.8665226781857451
agism,1.7434125269978402
agist,2.085097192224622
agita,2.0198704103671705
aglee,2.584449244060475
aglet,2.268682505399568
agley,2.25658747300216
agloo,1.7766738660907127
aglus,1.5974082073434126
agmas,1.6673866090712743
agoge,2.1736501079913606
agone,2.373218142548596
agons,1.8488120950323974
agood,1.822462203023758
agria,2.0207343412527
agrin,1.9226781857451405
agros,1.8596112311015118
agued,1.9870410367170626
agues,2.023326133909287
aguna,1.8371490280777538
aguti,1.6915766738660907
aheap,2.1429805615550754
ahent,2.31317494600432
ahigh,1.790928725701944
ahind,1.9684665226781857
ahing,1.87170626349892
ahint,2.213390928725702
ahold,1.985745140388769
ahull,1.9771058315334773
ahuru,1.8336933045356372
aidas,2.024622030237581
aided,2.185745140388769
aides,2.2220302375809937
aidoi,1.8868250539956803
aidos,1.8958963282937364
aiery,2.5650107991360693
aigas,1.9874730021598273
aight,1.8505399568034557
