letter,position,count
a,1,141
a,2,304
a,3,307
a,4,163
a,5,64
b,1,173
b,2,16
b,3,57
b,4,24
b,5,11
c,1,198
c,2,40
c,3,56
c,4,152
c,5,31
d,1,111
d,2,20
d,3,75
d,4,69
d,5,118
e,1,72
e,2,242
e,3,177
e,4,318
e,5,424
f,1,136
f,2,8
f,3,25
f,4,35
f,5,26
g,1,115
g,2,12
g,3,67
g,4,76
g,5,41
h,1,69
h,2,144
h,3,9
h,4,28
h,5,139
i,1,34
i,2,202
i,3,266
i,4,158
i,5,11
j,1,20
j,2,2
j,3,3
j,4,2
j,5,0
k,1,20
k,2,10
k,3,12
k,4,55
k,5,113
l,1,88
l,2,201
l,3,112
l,4,162
l,5,156
m,1,107
m,2,38
m,3,61
m,4,68
m,5,42
n,1,37
n,2,87
n,3,139
n,4,182
n,5,130
o,1,41
o,2,279
o,3,244
o,4,132
o,5,58
p,1,142
p,2,61
p,3,58
p,4,50
p,5,56
q,1,23
q,2,5
q,3,1
q,4,0
q,5,0
r,1,105
r,2,267
r,3,163
r,4,152
r,5,212
s,1,366
s,2,16
s,3,80
s,4,171
s,5,36
t,1,149
t,2,77
t,3,111
t,4,139
t,5,253
u,1,33
u,2,186
u,3,165
u,4,82
u,5,1
v,1,43
v,2,15
v,3,49
v,4,46
v,5,0
w,1,83
w,2,44
w,3,26
w,4,25
w,5,17
x,1,0
x,2,14
x,3,12
x,4,3
x,5,8
y,1,6
y,2,23
y,3,29
y,4,3
y,5,364
z,1,3
z,2,2
z,3,11
z,4,20
z,5,4
